,categorie,nom_recette,ingredients,preparation,nb_etape
389,dessert,Glace à la vanille facile et rapide,"['3 oeuf', ' 250 g de crème liquide type fleurette ', ' 4 cuillère à soupe de sucre roux', ' 2 sachet de sucre vanillé de bourbon ou extrait de vanille liquide ']"," Dans un grand saladier, mettre les jaunes d’œufs avec le sucre de canne et le sucre vanillé. Les battre jusqu’a obtenir un mélange blanchâtre. Dans un second saladier, monter la crème fraîche en chantilly avec un glaçon. (Mettre la crème fraîche 30 mn au congélateur). Dans un troisième saladier, battre les blancs en neige bien fermes. Ajouter le second saladier dans le premier en mélangeant délicatement. Ajouter le troisième saladier dans le premier en mélangeant délicatement. Verser dans des petits ramequins en aluminium ou dans de grandes barquettes. Mettre au congélateur pendant 24 à 48 H. Servir avec du chocolat chaud ou du caramel, ou encore un coulis de fruits.",8
394,dessert,Tarte fine ou tarte sèche aux pommes,"['1 pâte feuilletée toute prête et sa feuille de cuisson ', ' 2 pomme', ' 20 g de beurre demi-sel', ' 3 cuillère à soupe de sucre']"," ATTENTION PAS DE MOULE POUR CETTE TARTE QUI SE CUIT DIRECTEMENT SUR LA GRILLE DU FOUR ! Laisser la pâte sur sa feuille de cuisson et la poser directement sur la grille du four (pas de tourtière pour cette tarte). Couper les pommes en tranches très fines et en recouvrir la pâte à 1 cm du bord, sans les faire se chevaucher. Parsemer de petits bouts de beurre. Saupoudrer avec le sucre. Remettre votre grille à mi hauteur dans le four chaud (thermostat 6-7). 1 ou 2 minutes avant la fin de la cuisson mettez sur position grill thermostat 9, les pommes vont caraméliser... Sortez et dégustez tiède ou froide avec une boule de glace à la vanille ou de la chantilly. Cette tarte sèche accompagne aussi très bien seule le petit café de fin de repas.",9
398,dessert,Tiramisu aux Oreo,"['20 biscuit oreo ', ' 3 oeuf', ' 50 g de sucre', ' 250 g de mascarpone', ' 7 g de sucre vanillé', ' 4 cuillère à soupe de cacao']"," Tapissez un plat à bords hauts de biscuits Oreo entiers, moulinez à l'aide d'un mixeur les biscuits restants. Comblez les trous entre les biscuits avec une petite partie de la poudre d'Oreo. Réserver le reste. Dans un saladier, battez les jaunes avec le sucre jusqu'à ce que le mélange blanchisse. Ajouter le mascarpone. Dans un autre saladier, montez les blancs et le sucre vanillé en neige, ils doivent être fermes. Ajoutez délicatement les blancs au mélange sucre, jaunes, mascarpone. Recouvrir la couche d'Oreo entiers d'une première couche de préparation (environ la moitié de la préparation), puis du reste de la poudre d'Oreo, terminer par le reste de la préparation. Pour la déco, saupoudrez de cacao. Réserver au réfrigérateur pendant au moins 5 heures.",8
400,dessert,Fromage frais,"['1 l de lait entier pasteurisé vache ou chèvre ', ' 5 cl de vinaigre de vin blanc ou de jus de citron ', ' 1 cuillère à soupe de gros sel', ' gousse dail et/ou des herbes fraîches ciboulette... finement hâchées', ' ou ni lun ni lautre pour un fromage nature ']"," Les ingrédients permettent de faire un fromage de 100 à 150 grammes. Porter lentement le lait à ébullition dans une casserole à fond épais. Dès qu'il boue, retirer du feu. Verser le vinaigre et le gros sel. Remuer quelques secondes. On voit immédiatement se former le caillé, blanc et opaque, qui se sépare du petit lait, jaune pâle et limpide. Ajouter le hâchis d'ail et fines herbes (c'est optionnel) et remuer. Laisser cailler au moins 5 minutes. Filtrer le caillé à travers un linge en coton plié en quatre. Presser légèrement pour extraire le petit lait et former une boule de fromage. On peut manger ce fromage tout de suite (frais) ou le laisser sécher quelques jours (une semaine) à température ambiante, simplement en boule, ou dans une faisselle sur laquelle on pose un poids (par exemple un verre rempli d'eau) pour qu'il soit plus compact.",7
401,dessert,Moelleux au chocolat,"['250 g de chocolat', ' 175 g de beurre', ' 125 g de sucre glace', ' 75 g de farine', ' 5 oeuf']"," faire fondre le chocolat. Ajouter le beurre en morceaux peu à peu et l'incorporer pour obtenir un crème bien lisse. Mettre la farine et le sucre glace dans un saladier. Ajouter les oeufs entiers et mélanger jusqu'à obtention d'une émulsion homogène. Verser le mélange chocolat-beurre sur cette préparation. Mélanger. Beurrer et fariner 6 moules individuels ou un grand moule. Verser la préparation et mettre à four chaud (200°C) - 10 min pour les petits gâteaux, 15 pour le grand. Servir tiède avec une crème anglaise (le centre doit être coulant) ou servir froid nappé de ganache au chocolat.",7
405,dessert,Gateaux moelleux au chocolat au lait,"['3 oeuf', ' 125 g de beurre', ' 150 g de sucre', ' 50 g de farine', ' 125 g de chocolat au lait pâtissier ', ' 1 cuillère à café de vanille liquide ']"," Préchauffer le four à 210°C. Faire fondre doucement le chocolat avec le beurre (à feu doux ou au micro-onde à 300w). Un fois fondu, y ajouter le sucre, les oeufs battu en omelette, la farine et la vanille. Mélanger le tout. Verser la pâte dans un moule à gâteau beurré. Faire cuire au four pendant 15 à 20 mn. Le gâteau doit être juste cuit pour qu'il garde son côté moelleux. Vous pouvez saupoudrer de sucre glace pour le décorer.",6
414,dessert,Fondant aux pommes golden,"['3 pomme golden ', ' 100 g de beurre', ' 100 g de sucre poudre ', ' 1 zeste de citron ou orange ou jus ', ' 2 oeuf', ' 100 g de farine', ' 1 cuillère à café rase de levure chimique']"," Dans un saladier, mélanger le beurre ramolli avec le sucre et le zeste ou le jus d'orange (ou de citron).  Ajouter les 2 œufs entiers, la farine et la levure.  Ajouter du calva ou du rhum si l'on veut sucré.  Beurrer un moule ou mettre du papier sulfurisé.  Couper les pommes en fine tranches et les mettre au fond du plat.  Verser la pâte sur les pommes.  Faire cuire environ 45 min à 180-200°C.",7
418,dessert,Mousse au citron et au Mascarpone (très facile),"['250 g de mascarpone', ' 100 g de sucre', ' 2 dl de crème fraîche', ' 100 g de jus de citron']"," Mélanger le mascarpone avec le sucre, le jus et le zeste du citron.  Incorporer la crème fouettée, et placer au freezer pendant 2 h.",2
420,dessert,Pommes à la cannelle,"['3 pomme golden ', ' 2 cuillère à café de cannelle selon les goûts ', ' beurre', ' sucre selon les goûts ']"," Laver les pommes, les peler et détailler en petits dés. Faire fondre un peu de beurre dans une poêle et y rajouter les pommes. Laisser colorer 5 minutes en remuant, rajouter la cannelle et saupoudrer de sucre selon les goûts. Laisser compoter 10 minutes environ. C'est prêt lorsque les pommes sont fondantes.",5
435,dessert,Apple pie,"['1 pâte brisée', ' 2 cuillère à café de farine', ' 1 pincée de sel', ' 100 g de sucre', ' 1 oeuf', ' 25 cl de crème fraîche', ' 1 sachet de sucre vanillé', ' 1 pomme coupée en petits cubes ', ' 45 g de farine ou 5 grosses cuillères à soupe de farine ', ' 75 g de sucre ou 5 grosses cuillères à soupe de sucre ', ' 1 cuillère à café rase de cannelle', ' 45 g de beurre']"," Tapissez le fond d'un moule à tarte avec la pâte brisée. Mélangez la farine, le sel, le sucre et le sucre vanillé. Ajoutez l'oeuf, la crème fraîche, le sucre vanillé et les pommes; versez sur la pâte. Préparez ensuite le nappage, en mélangeant la farine, le sucre, la cannelle, et le beurre.  Mélangez, en utilisant une technique facile pour faire des miettes : avec 1 couteau dans chaque main, traversez la pâte dans tous les sens.  Dispersez sur le dessus de la tarte.  Enfournez à 180°C (thermostat 6), puis servez tiède.",7
437,dessert,Coeur coulant au chocolat,"['50 g de chocolat noir', ' 50 g de beurre doux', ' 20 g de sucre en poudre', ' 20 g de farine', ' 1 oeuf', ' 1 sachet de sucre vanillé']"," Préchauffer le four à 200°C (thermostat 7). Faire fondre à feu doux le chocolat et le beurre. Réserver. Mélanger l’œuf et le sucre jusqu'à ce que le mélange blanchisse légèrement. Ajouter la farine et bien mélanger jusqu'à l'obtention d'un mélange fluide.  Ajouter à la préparation le mélange chocolat-beurre qui a fondu. Bien mélanger.  Beurrer et fariner des moules individuels puis y verser la préparation.  Enfourner à 200°C pour 10-12 minutes de cuisson, selon les préférences (moins il est cuit, plus il est coulant et vice-versa).",6
443,dessert,Cookies sans oeufs,"['90 g de beurre ramolli ', ' 100 g de sucre cassonade ', ' 1 cuillère à café de levure', ' 225 g de farine', ' 5 cl de lait', ' chocolat']"," Mélanger le beurre et le sucre cassonade. Incorporer la levure et la farine, mettre un peu de lait de manière à obtenir une pâte un peu consistante. Incorporer les pépites de chocolat. Mettre du papier sulfurisé sur une plaque et faire des boules de pâtes que l'on espace suffisamment pour éviter qu'elles ne se touchent pendant la cuisson et écraser légèrement avec la paume de la main. Préchauffer le four à 180°C (thermostat 6). Enfourner à four chaud pendant 18 min. Sortir tout de suite de four.",7
444,dessert,Gâteau magique au chocolat blanc et framboises,"['4 oeuf', ' 150 g de sucre', ' 1 cuillère à soupe deau', ' 125 g de beurre', ' 200 g de chocolat blanc', ' 115 g de farine', ' 50 cl de lait tiède ', ' 200 g de framboise fraîches ou surgelées si ce nest pas la saison ']"," Préchauffez votre four à 150°C (thermostat 5). Faites fondre le beurre avec le chocolat environ 2 min au micro ondes. Mélangez le sucre à avec les jaunes d'oeuf et l'eau, ajoutez-y le beurre et le chocolat fondu puis la farine, mélangez bien. Versez le lait tiède puis les blancs montés en neige. Beurrez un moule a manqué, déposer-y les framboises, versez la préparation et enfourner pendant 50 minutes. Laissez refroidir puis mettre le gâteau au réfrigérateur. Servir très froid. Vous obtenez un gâteau avec trois textures différentes : biscuit flan crème.",8
446,dessert,Cookies aux pépites de chocolat ,"['80 g de beurre mou ', ' 125 g de sucre fin', ' 2 sachet de sucre vanillé', ' 1 oeuf', ' 150 g de farine', ' 100 g de chocolat', ' 1 cuillère à soupe de lait']"," Mettez le beurre mou dans une terrine.  Ajoutez les sucres. Ajoutez l'oeuf, puis incorporez la farine, les pépites de chocolat et le lait. Mélangez. A l'aide d'une cuillère à café, déposez les boules de pâte assez espacées sur une plaque ou un plat, puis mettez au four pendant 10 à 15 min à thermostat 6 (180°C). Dégustez tiède ou froid.",5
451,dessert,Beignets de semoule (sfenj algériens),"['250 g de farine', ' 1 cuillère à café de levure de boulanger', ' 1 cuillère à café de sel', ' 25 cl deau environ ', ' 25 cl de sirop de sucre ', ' huile pour la friture ']"," Mélanger la farine avec le sel, la levure diluée dans de l'eau chaude, puis avec de l'eau que l'on rajoute progressivement et que l'on pétrit (le mieux est d'utiliser un pétrin électrique). Il faut rajouter de l'eau jusqu'à obtenir la consistance d'une pâte semi-liquide, visqueuse.  Faire un sirop de sucre avec le sucre et l'eau). Faire le sirop jusqu'au stade de ""perle"" (pour cela verser une goutte du sirop sur une assiette, si la goutte tient c'est bon, si elle s'écrase il faut continuer à faire cuire). Ajouter ensuite un peu de miel et mettre hors du feu.  Faire chauffer l'huile jusqu'à ce qu'elle soit fumante. Verser alors des morceaux de pâte que l'on prend avec une cuillère et que l'on repousse avec une autre cuillère. Laisser dorer. (Normalement on utilise ses doigts : on prend un morceau de pâte de la taille d'un oeuf, que l'on tient avec les doigts des deux mains et on étire progressivement pour faire presque un anneau qu'on dépose dans l'huile).  Égoutter et tremper dans le sirop de sucre.  On peut aussi les manger salées ou alors saupoudrées de sucre ou encore nature.",5
464,dessert,Ramequins fondants chocolat framboise,"['100 g de chocolat', ' 2 oeuf', ' 100 g de sucre', ' 50 g de beurre', ' 50 g de farine', ' 50 g de framboise']"," Faire fondre le chocolat et le beurre au bain-marie.  Pendant ce temps, mélanger les oeufs et le sucre jusqu'à blanchissement de la préparation.  Ajouter le chocolat et le beurre fondus, mélanger énergiquement.  Ajouter la farine.  Incorporer délicatement les framboises.  Verser la préparation dans quatre petits ramequins individuels.  Mettre au four thermostat 180°C pendant 10 min. A la fin de la cuisson, le dessus du ramequin doit avoir l'aspect d'une croûte mais l'intérieur doit rester fondant.  Une fois sorti du four, laissez refroidir et placez au réfrigérateur pendant 2 heures mini.  Servez frais... Et régalez-vous !",9
465,dessert,Gâteau magique chocolat-coco,"['150 g de sucre en poudre', ' 110 g de farine', ' 125 g de beurre', ' 1 cuillère à soupe deau', ' 4 oeuf', ' 60 g de chocolat type van houten ', ' 60 g de noix de coco rapée', ' 50 cl de lait', ' 1 pincée de sel']"," Utilisez un moule de 22 cm de diamètre. Préchauffez votre four à 150°C (Th 5) en four traditionnel (sans chaleur tournante). Faites fondre le beurre au micro-ondes. Clarifiez les oeufs. Montez les blancs en neige avec une pincée de sel, assez fermes. Blanchissez les jaunes avec le sucre en poudre. Intégrez dans l'ordre le beurre fondu (à environ 45°), la farine, la cuillère à soupe d'eau. Délayez le chocolat en poudre dans le lait (vous pouvez le chauffer un peu pour faciliter mais surtout ne pas le faire bouillir), puis intégrez-le à l'appareil. Enfin, ajoutez la noix de coco râpée. Intégrez ensuite les blancs en neige sans les écraser, de telle manière que l'on obtienne une crème assez liquide avec des grumeaux. Si le moule n'est pas en silicone, chemisez-le avec un papier de cuisson, puis versez l'appareil et enfournez pour 45 min. La cuisson est terminée lorsque la préparation qui reste souple ne fait plus de vagues à la mobilisation. Laissez refroidir puis placez au réfrigérateur au minimum 4 heures avant de vous régaler.",13
472,dessert,Key lime pie (Floride),"['4 oeuf', ' 350 g de lait concentré sucré', ' 15 cl de jus de citron vert ', ' 1 pâte sablée cuite ']"," Mélanger en battant les jaunes d'oeuf, le lait et le citron, puis mettre dans le fond de tarte. Battre les blancs avec un peu de sucre, puis étaler les blancs en neige sur la tarte. Mettre au four à 140°C jusqu'à ce que le blanc d'oeuf soit doré.",3
477,dessert,Cheesecake Oreo facile,"['40 biscuit oreo ', ' 125 g de beurre', ' 500 g de fromage frais', ' 120 g de sucre', ' 2 cuillère à soupe de farine', ' 3 oeuf', ' 25 cl de crème entière ', ' 1 cuillère à café dextrait de vanille']"," Préchauffer le four à 160°C (PAS chaleur tournante).  Ouvrir 32 Oreo et séparer le biscuit du glaçage vanille. Réduire 24 Oreo en poudre et faire de même avec les 8 restants (garder séparés). Mélanger la poudre des 24 Oreo avec le beurre fondu et tapisser le fond d'un moule amovible recouvert de papier sulfurisé. Tasser avec le dos d'une cuillère et mettre au frigo. Chauffer la crème et y faire fondre le glaçage vanille. Battre le fromage frais, ajouter le sucre, la farine, les œufs, la crème, la poudre des 8 Oreo et l'extrait de vanille. Verser sur la croute. Mettre au four pour 1 h. Laisser refroidir, démouler (en décollant les bords avec un couteau), mettre 12 h au frigo. Décorer des 8 Oreo restants et servir.",10
479,dessert,Fondant au chocolat au coeur coulant,"['5 oeuf entiers ', ' 5 jaune doeuf', ' 125 g de sucre en poudre', ' 75 g de farine', ' 250 g de beurre', ' 250 g de chocolat']"," Battre énergiquement les 10 oeufs et le sucre.  Faire fondre le beurre dans une casserole. Casser le chocolat en petits morceaux.  Une fois le beurre fondu, le verser dans le saladier contenant le chocolat.  Mélanger délicatement jusqu'à ce que le chocolat soit totalement fondu.  Ensuite, incorporer la préparation à base de chocolat et de beurre dans le mélange d'oeufs et de sucre.  Ajouter progressivement la farine.  Beurrer et cacaoter un moule et y verser la préparation.  Enfourner à 180°C (thermostat 6) pendant 15 minutes.",8
482,dessert,Iles flottantes express au micro-ondes,"['5 blanc doeuf', ' 1 pincée de sel']"," Monter les 5 blancs d'oeuf en neige, avec une petite pincée de sel, directement dans le récipient qui va aller au micro-ondes.  Mettre le récipient des blancs en neige au micro-ondes, à chaleur très douce (350 W) pendant très peu de temps : 30 secondes.  Si les blancs ne sont pas assez pris, les remettre de 20 secondes en 20 secondes, cela dépend des micro-ondes.  Les blancs sont parfaitement fermes, il suffit de les prélever à la cuillère, de les dresser sur des assiettes à dessert, et de les servir avec la crème anglaise.",4
486,dessert,Quatre-quarts aux pommes,"['3 pomme acidulées ', ' 2 oeuf', ' 100 g de sucre en poudre', ' 100 g de farine', ' 100 g de beurre frais ', ' 1 cuillère à café de levure chimique', ' caramel déjà préparé pour tapisser le moule ']"," Versez le caramel dans un moule à manqué. Incliner le moule dans tous les sens pour que les parois soient enduites de caramel.  Pelez les pommes, les couper en gros quartiers et les disposer sur le caramel.  Dans une jatte, mélangez le beurre fondu et le sucre, incorporez les oeufs entiers, puis la farine et la levure. Bien mélanger. Versez cette pâte sur les pommes.  Faire cuire 30 mn à four chaud 210°C, (Th 7 ). Laissez tiédir avant de démouler.",4
496,dessert,Bûche de Noël crème pâtissière et chocolat,"['150 g de farine', ' 120 g de sucre en poudre', ' 1 sachet de sucre vanillé ou en poudre ', ' 6 oeuf', ' 1 pincée de sel', ' 75 cl de lait', ' 6 cuillère à soupe de sucre en poudre', ' 1 sachet de sucre vanillé ou 1 gousse de vanille ', ' 3 jaune doeuf + 1 œuf entier ', ' 75 g de farine pour quelle soit un peu épaisse ', ' 100 g de chocolat', ' 20 cl de crème fraîche', ' 1 cuillère à soupe de sucre']"," Préparer le biscuit la veille.  Chauffer le four à 210°C (thermostat 7). Recouvrir la plaque du four d'une feuille de papier sulfurisé beurré.  Travailler au batteur électrique les jaunes d'œufs, le sucre et le sucre vanillé, jusqu'à ce que le mélange blanchisse. Dans un autre récipient, battre les blancs en neige ferme avec les fouets (bien nettoyés entre temps). Incorporez délicatement au mélange (sucres + jaunes) la moitié de la farine et la moitié des blancs en neige, puis le reste de farine et enfin le reste des blancs. Utiliser une marise ou une cuillère en bois. Versez la pâte au centre de la plaque et l'étaler en un rectangle de 1 cm d'épaisseur.  Faites cuire à four chaud pendant 8 à 10 min.  Sortez la plaque du four, retournez le biscuit sur un linge humide et retirez le papier sulfurisé (s'il est dur à retirer, badigeonnez le papier d'eau et attendez 2 min).  Recouvrez le biscuit d'un deuxième linge humide et attendez 1 à 2 min pour que le biscuit refroidisse un peu et que sa surface ramollisse.  Retirez le linge du dessus et roulez délicatement le biscuit avec le linge restant et le laisser ainsi pendant la nuit. Ainsi, il gardera toute sa souplesse lorsqu'on le garnira.  Préparez également la crème pâtissière la veille, pour qu'elle soit bien froide au moment de garnir.  Faites bouillir le lait avec le sucre vanillé (ou la gousse de vanille).  Pendant ce temps, battez le sucre en poudre, les jaunes d'œufs et l'œuf jusqu'à ce que le mélange commence à blanchir. Rajoutez la farine et mélangez encore.  Versez le lait bouillant dans le mélange en plusieurs fois (2 ou 3) et en mélangeant bien.  Remettez le tout dans la casserole et faites épaissir à feu doux.  Le jour même, garnir le biscuit avec la crème pâtissière, puis le rouler.  Recouvrez de la ganache au chocolat, préparée en faisant fondre le chocolat avec la crème fraîche et le sucre jusqu'à obtenir un mélange homogène (bien tourner pour ne pas que ça attache).  Laissez refroidir, puis décorer de figurines, meringues et autres décorations de Noël, puis mettez au frais deux heures (une heure au minimum) avant de servir.",18
504,dessert,Crème chibouste,"['150 g de crème pâtissière', ' 20 cl de crème liquide']", La recette est très simple. Il suffit de monter la crème liquide en Chantilly et de l'incorporer délicatement à la crème pâtissière froide. Réserver au réfrigérateur.,3
505,dessert,Meringue facile,"['4 blanc doeuf', ' 300 g de sucre']"," Préchauffer le four à 120°C (thermostat 4).Mélanger les 4 blancs d'oeufs avec 150 g de sucre en les montant en blanc ferme. Une fois qu'ils sont fermes, incorporer les 150 g de sucre restants et mélanger délicatement afin d'éviter de casser les blancs. Sur un plan, mettre une feuille de papier sulfurisé, déposer un peu de meringue en écartant suffisamment les petits tas pour éviter qu'ils ne collent entre eux. Cuire 20 min à 120°C (thermostat 4), puis 1 h à 100°C (thermostat 3-4). C'est long comme cuisson mais quel plaisir de manger des meringues faites maison.",5
520,dessert,Tiramisu (Italie),"['500 g de mascarpone', ' 5 oeuf', ' 100 g de sucre en poudre', ' 200 g de biscuit italiens « pavesini » ', ' 30 cl de café très fort tiède ', ' 30 g de cacao en poudre non sucré ']"," Cassez les oeufs, séparez les blancs des jaunes dans deux saladiers. Ajoutez le sucre aux jaunes et fouettez jusqu'à ce que le mélange blanchisse et fasse un ruban quand on soulève le fouet. Incorporez le mascarpone en petits morceaux, et fouettez pour rendre la préparation homogène. Fouettez les blancs d'oeufs en neige très fermement, avec une pincée de sel. Incorporez-les délicatement à la préparation précédente, avec la spatule, en mélangeant du bas vers le haut, pour ne pas faire retomber les blancs. Versez 1/4 de la crème ainsi obtenue dans le fond d’un plat creux rectangulaire de 30x20 cm. Versez le café dans une assiette creuse. Trempez rapidement 1/3 des biscuits et disposez les côte à côte sur la crème. Recouvrez les d’un second quart de crème, puis de biscuits trempés, etc... jusqu'à ce que vous ayez réalisé 4 couches de crème et 3 couches de biscuits. Terminez par une couche de crème et placez au frais au moins 4 heures. Juste avant de servir, saupoudrez de cacao tamisé à travers une passoire fine.",5
522,dessert,flan aux pommes,"['4 pomme', ' 50 g de beurre', ' 80 g de farine', ' 50 g de sucre', ' 2 sachet de sucre vanillé', ' 4 oeuf', ' 25 cl de lait']"," Eplucher les pommes, les couper en quartiers et les faire dorer dans le beurre pendant 5 à 10 min dans une casserole. Ensuite verser la farine tamisée dans un saladier avec les 4 oeufs et le sucre. Delayer avec le lait. Dans un moule beurré, verser la préparation et ensuite les pommes légerement dorées. Mettre au four pendant 40 min environ. Le flan doit être doré sur le dessus.",4
531,dessert,Petits gâteaux -mousse au chocolat,"['2 tablette de chocolat au lait 7oz/200g chacune ', ' 6 oeuf', ' 1/4 tasse de farine', ' copeau de chocolat']"," Dans la partie supérieure d'un bain-marie contenant de l'eau chaude mais non bouillante, faire fondre le chocolat au lait. Ajouter les oeufs et la farine et mélanger à l'aide d'un fouet ou d'une cuillère de bois. A l'aide d'une louche, verser la pâte dans 12 moules à muffins, tapissés de moules en papier. Cuire au four préchauffé à 325°F (160°C) pendant 12 mn ou jusqu'à ce que les gâteaux aient pris sur le pourtour mais soient encore liquides au centre. Laisser refroidir de 5 à 10 minutes (le centre se transformera en mousse en refroidisseant).  Détacher les moules en papier et garnir les gâteaux-mousse de copeaux de chocolat.",4
533,dessert,Crème au beurre,"['125 g de beurre mou ', ' 75 g de sucre en poudre', ' 1 oeuf']", Travaillez le beurre coupé en dés à la spatule jusqu'à ce qu'il soit réduit en pommade. Mélangez les oeufs entiers avec le sucre dans une casserole au bain-marie et travaillez jusqu'à ce que l'appareil forme un ruban. Ajoutez le parfum choisi puis déposez la casserole dans un récipient d'eau froide et remuez jusqu'à ce que la crème soit refroidie. Incorporez progressivement la crème au beurre. Utilisez la crème pour un gâteau (8 personnes environ) ou conservez au frais et consommez rapidement.,5
535,dessert,Petit flan au chocolat,"['3 oeuf', ' 100 g de sucre', ' 1 sachet de sucre vanillé', ' 100 g de chocolat', ' 1/2 l de lait']"," Faire préchauffer votre four thermostat 7.  Dans une casserole, mettre à bouillir le lait + le sucre + le sachet de sucre vanillé.  Pendant ce temps, dans un saladier battre les 3 oeufs.  Faire fondre le chocolat avec 2 cuillères à soupe d'eau 1 mn au micro-ondes.  Incorporez le chocolat aux oeufs.  Quand le lait bout, le verser petit à petit dans la préparation (oeuf + chocolat).  Il ne vous reste plus qu'à répartir dans les ramequins !!  30 mn au bain-marie (vérifier que l'eau ne bout pas), c'est cuit lorsque vous plongez un couteau et que celui ressort complètement sec).  Laisser refroidir avant de mettre au réfrigérateur.",9
537,dessert,Crêpes Vegan,"['500 g de farine', ' 1 l de lait de soja', ' 3 cuillère à soupe dhuile végétale ', ' 10 cl de bière ou cidre ']"," Versez la farine et l'huile dans un saladier Faites tiédir le lait de soja dans une casserole (Attention, le lait doit être tiède mais pas bouillant) Incorporer le lait petit à petit à la farine pour former la pâte Ajouter la bière Battre la pâte Laisser reposer 15 minutes",6
538,dessert,Biscuits escargots vanille chocolat,"['300 g de farine', ' 1 pincée de sel', ' 125 g de sucre en poudre', ' 1 sachet de sucre vanillé ou quelques gouttes darôme de vanille. ', ' 200 g de beurre en pommade ', ' 2 blanc doeuf', ' 20 g de cacao ou le double de chocolat basic en poudre ']"," Dans un saladier : Versez la farine, le sel, et les sucres. Ajoutez le beurre coupé en petits morceaux, et pétrir le tout du bout de doigts. Ajoutez un blanc d'oeuf, battu préalablement avec une fourchette pour qu'il soit bien homogène, et travaillez rapidement la pâte. Faites une boule, et laissez reposer 1 h sous un torchon, à température ambiente, mais pas plus! Divisez votre boule en 2 parties égales.  Dans l'une d'elle, incorporez le cacao (pour les puritains), ou le chocolat en poudre (pour les enfants). Sur un plan de travail fariné, étalez vos 2 boules séparément, en formant 2 rectangles de même taille (soit environ 15 à 20 cm sur 30 à 40 cm et environ 3 mm d'épaisseur). Avec un pinceau, badigeonnez la pâte clair avec la moitié d'un blanc d'oeuf. Voici maintenant la partie assez délicate de la recette...  Il s'agit de placer la pâte au cacao, sur celle qui est claire.  Si la tâche est trop difficile, car la pâte est trop ""molle"", alors la découper en petits carrés, que vous replacerez (comme un puzzle) sur la pâte claire.  Ensuite rebadigeonnez le dessus avec le reste de blanc d'oeuf.  Rouler les 2 pâtes ensembles, et les envelopper dans du papier aluminium pour leur donner la forme souhaitée... circulaire recommandée! Placer le tout au réfrigérateur, pendant au moins 30 min, pour durcir la rouleau (le fraiser est recommandé, si c'est trop ""mou""!). Préchauffer votre four à thermostat 5 (soit environ 150 °C). Aprés les 30 min, déballer votre rouleau, et décle découper en fines rondelles de 5 mm d'épaisseur (pour des biscuits croquants), et de 10 mm (pour des biscuits plus moelleux!). Enfin cuire pendant 20 min, à mi-hauteur... Une fois cuits, les décoller, et les déguster froids ou tièdes!",19
541,dessert,Gâteau aux pommes scandinave,"['6 pomme', ' 250 g de chapelure', ' 150 g de sucre en poudre', ' 150 g de beurre', ' cannelle']"," Couper, éplucher les pommes et les découper en petits dés. Les faire cuire dans une casserole avec 3 cuillères à soupe d'eau et la moitié du sucre, soit 75 g. Les laisser cuire jusqu'à ce qu'on puisse les écraser en compote. Pendant ce temps, préchauffer le four à 180°C (thremostat 6). Mettre le beurre à fondre dans une autre casserole, y verser la chapelure, le reste du sucre, un soupçon de cannelle. Quand la pâte est prête, beurrer un moule, y verser successivement une couche de pâte, une couche de compote... jusqu'à terminer par une couche de pâte. Faire cuire 30 minutes et c'est prêt !",5
545,dessert,Brownies sans beurre,"['70 g de chocolat', ' 2 oeuf', ' 150 g de sucre', ' 60 g de farine', ' 50 g de noix de pécan']", Faire fondre le chocolat avec une cuillère d'eau. Ecraser les noix de pécan pour obtenir des petits morceaux. Mélanger les ingrédients dans l'ordre ci-dessus. Recouvrir un moule de papier sulfurisé beurré (un moule pas trop grand et de préférence carré ms un moule à tarte le 20 cm fait très bien l'affaire). Cuire 20 mn à 180°C. Le coeur reste un peu moelleux et une couche craquante doit s'être formée sur le dessus du gâteau. Laisser refroidir et déguster tiède ou froid.,5
548,dessert,Angel food cake,"['250 g de sucre', ' 100 g de farine', ' 1 pincée de sel', ' 10 blanc doeuf', ' 1 cuillère à café de crème de tartre ', ' 1/2 cuillère à café de vanille', ' 1/2 cuillère à café dextrait damande', ' 1 cuillère à soupe de jus de citron']"," Prévoir un moule en couronne creuse de 22,5 de diamètre. Préchauffer le four à thermostat 5 (150°C). Tamiser 2 fois le sucre. Tamiser séparément (avant de mesurer) la farine, puis tamiser la quantité de farine nécessaire avec 50 g de sucre et le sel. Battre les blancs avec 2 cuillères à soupe d'eau ou 1 d'eau et 1 de jus de citron jusqu'à ce qu'ils soient mousseux, ajouter la crème de tartre et les rebattre en neige ferme mais pas sèche. Ajouter avec précaution la vanille et l'amande puis, en fouettant  cuillère par cuillère, le reste du sucre. Tamiser environ 40 g du mélange farine + sucre au-dessus de la pâte, l'incorporer doucement et rapidement, continuer jusqu'à la fin des ingrédients. Verser dans le moule tube non beurré et faire cuire au four environ 45 min. Refroidir avec le moule renversé sur un entonnoir pour qu'il ne repose pas sur la table. Glacer au chocolat si on veut.",8
549,dessert,Pâte à crêpes très simple,"['2 tasse de farine', ' 2 oeuf entier ', ' 2 paquet de sucre vanillé', ' 1 pincée de sel', ' 3 tasse de lait ou eau ']"," Mettre la farine, les 2 oeufs, les 2 paquets de sucre vanillé et la pincée de sel dans le bol du robot. Mixer le tout, en ajoutant petit à petit le lait. Mélanger jusqu'à ce que la pâte soit homogène, et le tour est joué!  Verser une louche de pâte dans une crêpière et laisser cuire la crêpe en retournant à mi-cuisson. Répéter l'opération jusqu'à épuisement des ingrédients.",4
