,categorie,nom_recette,ingredients,preparation,nb_etape
824,entree,Poivrons farcis au thon (Pimientos del piquillo con atun),"['5 poivron de piquillo 2 par personne + 1 pour la sauce ', ' 1 boîte de thon à l’huile d’olive ', ' 1 oignon moyen ', ' 2 gousse dail', ' 2 cuillère à soupe de concentré de tomates', ' 1 petit verre de lait 20 cl ', ' 1 petit verre de bouillon de poisson on peut utiliser un bouillon cuve au poisson 20 cl ', ' 2 cuillère à soupe de farine', ' 2 cuillère à soupe dhuile olive ', ' sel']"," Les poivrons de piquillo sont une variété espagnole de poivrons rouges, d’environ 10 cm de long. En France, on les trouve difficilement au rayon frais Par contre on en trouve souvent en boite ou en bocal, déjà cuits et pelés, dans les grandes surfaces. Si vous ne trouvez pas ces petits poivrons (à ne pas confondre avec les piments !), vous pouvez les remplacer par 2 de poivrons rouges dont il faudra utiliser seulement la partie du bas, environ les deux tiers du poivron. Le reste servira pour faire la sauce. Si vous utilisez des poivrons frais, il faut les faire cuire au four quelques minutes, jusqu’à ce qu’ils soient tendres. Puis les peler et les épépiner. Entre-temps, dans une sauteuse faire revenir, à l’huile d’olive, l’ail et l’oignon coupés en dés. Quand ils seront dorés ajouter la farine et bien mélanger pour éviter qu’elle ne brûle. Puis ajouter le bouillon de poisson et le lait petit à petit, sans arrêter de mélanger, jusqu’à obtenir une béchamel épaisse. Saler et réserver un peu de cette béchamel qui servira plus tard à faire une sauce au poivron.  Mélanger le reste de la béchamel avec le thon émietté. Farcir avec ce mélange les poivrons. À la béchamel réservée, on ajoute le concentré de tomate et 1 poivron de piquillo (ou le tiers supérieur des poivrons, si on a utilisé des poivrons rouges normaux). Passer la sauce au mixeur jusqu'à obtenir une sauce pas très épaisse (on peut rajouter un peu de lait ou de bouillon de poisson s’il le faut). Verser une bonne partie de cette sauce dans le fond d’un plat, placer ensuite les poivrons farcis puis les arroser superficiellement avec la sauce restante. Mettre au four juste quelques minutes pour servir bien chaud.",12
832,entree,bréchets de poulet ,"['250 g de poulet pas trop gros ', ' farine', ' beurre', ' persil', ' ail']"," Passez les bréchets dans la farine, bien les secouer.  Les faire cuire dans le beurre bien chaud.  Au dernier moment ajouter un hachis de persil et d'ail.  Laissez cuire vivement encore 2/3 mn.  Servir.  On les déguste comme les grenouilles avec les doigts.",6
840,entree,Brochettes de melon et parme,"['1 melon de cavaillon ', ' 2 tranche de jambon de parme ou autre ', ' feuille de menthe fraîches ']"," Couper la chair du melon en gros cubes. Couper en 2 les tranches de jambon et les rouler sur elles-même, puis en faire 3 morceaux. Alterner en piquant sur les brochettes en bois : 1 feuille de menthe, 1 cube de melon et 1 petit rouleau de jambon. Recommencer pour compléter la brochette.",2
843,entree,Verrines bicolores kiwi-saumon,"['4 kiwi', ' 6 tranche de saumon fumé', ' 5 cl de crème fraîche liquide', ' 10 g de mayonnaise', ' ciboulette']"," Couper les kiwis et les traches de saumon en dés.  Disposer dans les verrines. (kiwi en-dessous, saumon au-dessus. Pour la sauce, mélanger la crème liquide et la mayonnaise avec la ciboulette et un filet de jus de citron. Verser la sauce sur le saumon. Et voilà !",5
849,entree,Citrons confits,"['1 kg de citron à peau épaisse non traités ', ' 100 g de gros sel', ' 50 cl dhuile dolive']"," Couper les citrons en rondelles d'1/2 cm d'épaisseur, les disposer en couches dans un saladier en saupoudrant chaque couche de gros sel, laisser mariner 24 h. Verser les rondelles dans une passoire et les laisser égoutter pendant 2 h, pendant ce temps, ébouillanter un bocal d'une contenance de 1 l, le laisser sécher à l'envers sur un linge. Eponger les rondelles de citron, les serrer dans le bocal en cercles et debout les unes contre les autres, couvrir d'huile d'olive et fermer le bocal, réserver au moins 15 jours avant de l'entamer dans un endroit frais ou au réfrigérateur.",3
872,entree,Cade (recette provençale),"['250 g de farine de pois chiches en vente principalement magasin bio ', ' 1 oeuf', ' 1 demi deau', ' 2 cuillère à soupe dhuile', ' thym pour parsemer ']", Battre le tout. Verser sur la plaque du four. Faire cuire.,3
875,entree,Foie gras sans cuisson ,"['1 foie gras entier soit 40 à 50 g de foie gras cru et dénervé par personne ', ' 15 g de sel fin ', ' poivre 8 g par kilo de foie gras ']"," Pour info, une cuillerée à café de sel fin rase est égale à 5 grammes Mélanger le sel fin et le poivre. Prendre le foie gras dénervé et bien le frotter avec ce mélange. Emballer le foie gras bien serré dans une feuille d'aluminium et le mettre au réfrigérateur. Le foie gras sera prêt à consommer 24 heures plus tard et sera aussi savoureux qu'un foie gras mi-cuit. Le foie ainsi préparé peut se conserver au congélateur dans sa feuille d'aluminium pendant 6 mois. Le faire décongeler au réfrigérateur.",6
878,entree,Soupe de courge doubeurre,"['1 courge doubeurre butternut/elle ressemble à une énorme poire jaune ', ' 1 pomme', ' 1 cuillère à café de quatre-épices', ' 1 noix de beurre', ' 1 pincée de sel', ' 1 verre de lait entier plus ou moins selon la consistance désirée ']", Couper la courge en petits bouts et éplucher (c'est plus facile). Éplucher la pomme et la couper en morceaux. Faire cuire pomme et courge à la vapeur pendant 20 min (le couteau doit bien s'enfoncer dans les morceaux). Passer le tout au mixeur et ajouter le reste des ingrédients.,4
883,entree,Feuilletés au chèvre et au miel,"['1 pâte feuilletée', ' 4 rondelle de chèvre frais', ' miel liquide', ' thym', ' 1 jaune doeuf']", Couper le disque de pâte feuilletée en 4. Déposer une rondelle de fromage au centre de chaque quart. Arroser le fromage de miel et saupoudrer de thym. Rabattre les trois bords à la façon d'une enveloppe. Badigeonner les feuilletés de jaune d'oeuf. Déposer les feuilletés sur du papier sulfurisé et les cuire 20 mn à four préchauffé à 200°C (thermostat 6-7).,4
885,entree,Oeuf au plat savoyard,"['5 pomme de terre moyennes ', ' 100 g de gruyère râpé', ' 6 oeuf', ' pomme de terre']"," Faire dorer les pommes de terres lavées, épluchées et coupées en petit dés. Beurrez un plat à gratin. Eparpillez les pommes de terre. Cassez les oeufs un à un par-dessus en prenant soin de bien recouvrir toute les pommes de terre. Saupoudrez de gruyère râpé et faites gratiner pendant 10 à 15 mn.",3
887,entree,Avocat au surimi,"['3 avocat', ' 3 tomate moyennes ', ' 12 batonnet de surimi', ' mayonnaise', ' jus de citron']"," - Peler les avocats, et couper les en morceaux, ajouter du jus de citron sur les avocats pour éviter qu'ils ne noircissent. - Couper les tomates et les surimis en dés. - Ajouter la mayonnaise  C'est prêt !",4
900,entree,Courgettes aux oeufs,"['6 oeuf', ' 3 courgette', ' gruyère râpé', ' 50 g de beurre']"," Dans une poêle faites fondre le beurre et mettre les courgettes coupés en rondelles avec un peu de sel et du poivre en les faisant dorer dans le beurre.  Une fois bien cuites, battre les oeufs et verser sur les courgettes. Laisser cuire sans retourner la préparation toujours dans la poêle et arroser de gruyère râpé sur la préparation.  Eteindre le feu, couvrir et laisser le gruyère fondre avec la chaleur de la préparation.  Ce plat se déguste chaud.",4
